Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 3]",67.7499999999983,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[0, 1]",67.44999999999831,"[-999, 11]","[0, 0]","[0, 0]",1
2,"[2, 1]",37.15000000000003,"[0, -999]","[0, 0]","[0, 0]",1
3,"[0, 1]",78.54999999999768,"[1, 16]","[2.7499999999999982, 0]","[2.7499999999999982, 0]",1
4,"[2, 3]",69.99999999999817,"[2, 0]","[0, 0]","[0, 0]",1
5,"[2, 1]",37.65,"[4, 2]","[0, 0]","[0, 0]",1
6,"[2, 1]",39.649999999999885,"[5, 5]","[0, 0]","[0, 0]",1
7,"[0, 3]",113.89999999999567,"[3, 19]","[2.849999999999998, 0]","[2.849999999999998, 0]",1
8,"[2, 3]",71.39999999999809,"[6, 4]","[0, 0]","[0, 0]",1
9,"[0, 1]",84.04999999999737,"[7, 20]","[0, 0]","[0, 0]",1
10,"[0, 1]",84.84999999999732,"[9, 9]","[0, 0]","[0, 0]",1
11,"[2, 1]",39.299999999999905,"[8, 6]","[0, 0]","[0, 0]",1
12,"[0, 3]",118.84999999999539,"[10, 25]","[0, 0]","[0, 0]",1
13,"[0, 1]",90.39999999999701,"[12, 26]","[0, 0]","[0, 0]",1
14,"[2, 3]",71.99999999999805,"[11, 8]","[0, 0]","[0, 0]",1
15,"[2, 1]",45.34999999999956,"[14, 1]","[0, 0]","[0, 0]",1
16,"[2, 1]",46.349999999999504,"[15, 15]","[0, 0]","[0, 0]",1
17,"[0, 3]",120.79999999999528,"[13, 12]","[0, 0]","[0, 0]",1
18,"[2, 3]",75.29999999999787,"[16, 14]","[0, 0]","[0, 0]",1
19,"[2, 3]",77.69999999999773,"[18, 18]","[0, 0]","[0, 0]",1
20,"[2, 1]",48.449999999999385,"[19, 3]","[0, 0]","[0, 0]",1
21,"[0, 1]",98.49999999999655,"[17, 29]","[3.2499999999999964, 0]","[3.2499999999999964, 0]",1
22,"[2, 3]",81.44999999999752,"[20, 7]","[0, 0]","[0, 0]",1
23,"[0, 1]",97.94999999999658,"[21, 21]","[0, 0]","[0, 0]",1
24,"[0, 1]",104.5999999999962,"[23, 33]","[2.8999999999999977, 0]","[2.8999999999999977, 0]",1
25,"[2, 3]",83.5999999999974,"[22, 22]","[0, 0]","[0, 0]",1
26,"[2, 1]",54.34999999999905,"[25, 10]","[0, 0]","[0, 0]",1
27,"[0, 1]",104.04999999999623,"[24, 24]","[0, 0]","[0, 0]",1
28,"[2, 1]",62.59999999999858,"[26, 13]","[7.94999999999998, 0]","[0, 0]",1
29,"[2, 1]",62.59999999999858,"[28, 28]","[5.699999999999988, 0]","[0, 0]",1
30,"[0, 3]",134.3999999999963,"[27, 32]","[0, 0]","[0, 0]",1
31,"[0, 3]",136.74999999999685,"[30, 30]","[0, 0]","[0, 0]",1
32,"[2, 3]",95.09999999999674,"[29, 17]","[4.049999999999994, 0]","[0, 0]",1
33,"[2, 1]",70.44999999999814,"[32, 23]","[2.499999999999999, 0]","[0, 0]",1
34,"[0, 3]",138.2999999999972,"[31, 31]","[0, 0]","[0, 0]",1
35,"[0, 3]",139.6499999999975,"[34, 34]","[0, 0]","[0, 0]",1
36,"[2, 1]",82.59999999999745,"[33, 27]","[3.4499999999999957, 0]","[2.3499999999999996, 0]",1
37,"[2, 1]",82.29999999999747,"[36, 36]","[0, 0]","[0, 0]",1
38,"[2, 1]",83.84999999999738,"[37, 37]","[0, 0]","[0, 0]",1
39,"[2, 3]",123.19999999999514,"[38, 35]","[0, 0]","[0, 0]",1
40,"[2, 1]",93.44999999999683,"[39, 41]","[0, 0]","[0, 0]",1
41,"[0, 1]",110.34999999999587,"[35, 38]","[0, 0]","[0, 0]",1
42,"[0, 3]",142.49999999999815,"[41, 39]","[0, 0]","[0, 0]",1
43,"[2, 3]",131.7499999999957,"[40, 44]","[0, 0]","[0, 0]",1
44,"[0, 3]",143.74999999999844,"[42, 42]","[0, 0]","[0, 0]",1
45,"[2, 1]",119.09999999999538,"[43, 56]","[9.850000000000005, 0]","[9.850000000000005, 0]",1
46,"[2, 3]",156.60000000000136,"[45, 58]","[4.3499999999999925, 0]","[3.2499999999999964, 0]",1
47,"[0, 1]",114.29999999999565,"[44, 40]","[0, 0]","[0, 0]",1
48,"[2, 1]",127.14999999999492,"[46, 59]","[2.1000000000000005, 0]","[0, 0]",1
49,"[2, 3]",165.45000000000337,"[48, 72]","[2.9999999999999973, 0]","[0, 0]",1
50,"[2, 3]",166.8500000000037,"[49, 49]","[5.749999999999988, 0]","[0, 0]",1
51,"[2, 3]",178.70000000000638,"[50, 77]","[14.40000000000007, 0]","[6.5999999999999845, 0]",1
52,"[2, 1]",148.59999999999954,"[51, -999]","[10.000000000000007, 0]","[0, 0]",1
53,"[2, 3]",182.2500000000072,"[52, 51]","[14.40000000000007, 0]","[0, 0]",1
54,"[0, 1]",115.44999999999558,"[47, 47]","[0, 0]","[0, 0]",1
55,"[0, 1]",116.54999999999552,"[54, 54]","[0, 0]","[0, 0]",1
56,"[0, 1]",117.59999999999546,"[55, 55]","[0, 0]","[0, 0]",1
57,"[0, 3]",148.69999999999956,"[56, 43]","[0, 0]","[0, 0]",1
58,"[0, 3]",151.00000000000009,"[57, 57]","[0, 0]","[0, 0]",1
59,"[0, 1]",122.54999999999518,"[58, 45]","[0, 0]","[0, 0]",1
60,"[2, 3]",185.00000000000782,"[53, 53]","[20.600000000000158, 0]","[0, 0]",1
61,"[2, 1]",155.65000000000114,"[60, -999]","[25.250000000000224, 0]","[0, 0]",1
62,"[2, 1]",158.1000000000017,"[61, 61]","[27.75000000000026, 0]","[0, 0]",1
63,"[2, 3]",191.25000000000924,"[62, 60]","[29.90000000000029, 0]","[0, 0]",1
64,"[2, 3]",194.05000000000987,"[63, 63]","[31.000000000000306, 0]","[0, 0]",1
65,"[2, 1]",164.6500000000032,"[64, -999]","[39.799999999999876, 0]","[0, 0]",1
66,"[2, 3]",197.40000000001064,"[65, 64]","[41.99999999999975, 0]","[0, 0]",1
67,"[2, 1]",169.35000000000426,"[66, 65]","[42.8499999999997, 0]","[0, 0]",1
68,"[2, 3]",203.20000000001195,"[67, 66]","[42.649999999999714, 0]","[0, 0]",1
69,"[2, 3]",205.90000000001257,"[68, 68]","[49.09999999999935, 0]","[0, 0]",1
70,"[0, 3]",154.5500000000009,"[59, 46]","[0, 0]","[0, 0]",1
71,"[2, 3]",208.15000000001308,"[69, 69]","[50.49999999999927, 0]","[0, 0]",1
72,"[0, 3]",155.8500000000012,"[70, 70]","[0, 0]","[0, 0]",1
73,"[0, 1]",126.44999999999496,"[72, 48]","[0.6, 0]","[0, 0]",1
74,"[2, 3]",210.25000000001356,"[71, 71]","[51.34999999999922, 0]","[0, 0]",1
75,"[0, 3]",163.20000000000286,"[73, 50]","[3.349999999999996, 0]","[2.549999999999999, 0]",1
76,"[2, 1]",180.45000000000678,"[74, -999]","[53.549999999999095, 0]","[0, 0]",1
77,"[0, 3]",164.2000000000031,"[75, 75]","[0.9000000000000002, 0]","[0, 0]",1
78,"[2, 3]",210.30000000001357,"[76, 74]","[55.649999999998975, 0]","[0, 0]",1
79,"[2, 3]",212.200000000014,"[78, 78]","[56.49999999999893, 0]","[0, 0]",1
0,"[0, 3]",105.64999999999614,"[-999, 17]","[0, 0]","[3.049999999999997, 0]",2
1,"[0, 3]",107.34999999999604,"[0, 0]","[0, 0]","[0, 0]",2
2,"[0, 1]",76.79999999999778,"[1, 19]","[0, 0]","[0, 0]",2
3,"[2, 3]",67.7499999999983,"[-999, -999]","[0, 0]","[0, 0]",2
4,"[2, 1]",37.15000000000003,"[3, -999]","[0, 0]","[0, 0]",2
5,"[0, 1]",77.94999999999771,"[2, 2]","[0, 0]","[0, 0]",2
6,"[0, 3]",109.19999999999594,"[5, 21]","[0, 0]","[0, 0]",2
7,"[2, 3]",69.4499999999982,"[4, 3]","[0, 0]","[0, 0]",2
8,"[0, 1]",80.89999999999755,"[6, 22]","[0, 0]","[0, 0]",2
9,"[0, 3]",112.04999999999578,"[8, 6]","[0, 0]","[0, 0]",2
10,"[2, 3]",71.79999999999806,"[7, 7]","[0, 0]","[0, 0]",2
11,"[0, 3]",114.24999999999565,"[9, 9]","[0, 0]","[0, 0]",2
12,"[0, 1]",85.09999999999731,"[11, 24]","[0, 0]","[0, 0]",2
13,"[2, 3]",73.59999999999796,"[10, 10]","[0, 0]","[0, 0]",2
14,"[0, 3]",116.24999999999554,"[12, 11]","[0, 0]","[0, 0]",2
15,"[2, 3]",75.09999999999788,"[13, 13]","[0, 0]","[0, 0]",2
16,"[0, 3]",118.44999999999541,"[14, 14]","[0, 0]","[0, 0]",2
17,"[2, 3]",76.4999999999978,"[15, 15]","[0, 0]","[0, 0]",2
18,"[2, 1]",46.29999999999951,"[17, -999]","[0, 0]","[0, 0]",2
19,"[2, 1]",47.399999999999444,"[18, 18]","[0, 0]","[0, 0]",2
20,"[0, 3]",119.94999999999533,"[16, 16]","[0, 0]","[0, 0]",2
21,"[2, 3]",80.84999999999755,"[19, 1]","[0, 0]","[0, 0]",2
22,"[2, 1]",56.549999999998924,"[21, 5]","[3.2499999999999964, 0]","[3.2499999999999964, 0]",2
23,"[2, 1]",63.64999999999852,"[22, 8]","[0, 0]","[0, 0]",2
24,"[2, 1]",64.1499999999985,"[23, 23]","[11.500000000000028, 0]","[0, 0]",2
25,"[2, 1]",72.899999999998,"[24, 12]","[20.70000000000016, 0]","[3.2999999999999963, 0]",2
26,"[0, 3]",121.29999999999525,"[20, 20]","[0, 0]","[0, 0]",2
27,"[2, 3]",120.79999999999528,"[25, 26]","[24.800000000000217, 0]","[9.750000000000004, 0]",2
28,"[2, 3]",127.19999999999492,"[27, 32]","[13.350000000000055, 0]","[0, 0]",2
29,"[2, 3]",128.79999999999504,"[28, 28]","[11.800000000000033, 0]","[0, 0]",2
30,"[2, 1]",98.99999999999652,"[29, 34]","[10.300000000000011, 0]","[0, 0]",2
31,"[2, 1]",101.34999999999638,"[30, 30]","[8.84999999999999, 0]","[0, 0]",2
32,"[0, 3]",127.69999999999489,"[26, 27]","[2.499999999999999, 0]","[2.499999999999999, 0]",2
33,"[0, 1]",97.09999999999663,"[32, -999]","[0, 0]","[0, 0]",2
34,"[0, 1]",98.29999999999656,"[33, 33]","[0, 0]","[0, 0]",2
35,"[2, 1]",103.64999999999625,"[31, 31]","[9.099999999999994, 0]","[0, 0]",2
36,"[0, 3]",131.14999999999557,"[34, 29]","[0, 0]","[0, 0]",2
37,"[0, 3]",132.34999999999584,"[36, 36]","[0, 0]","[0, 0]",2
38,"[2, 3]",136.74999999999685,"[35, 40]","[8.499999999999986, 0]","[0, 0]",2
39,"[2, 1]",108.149999999996,"[38, 42]","[7.349999999999982, 0]","[0, 0]",2
40,"[0, 3]",133.4999999999961,"[37, 37]","[0, 0]","[0, 0]",2
41,"[2, 1]",116.49999999999552,"[39, 45]","[7.649999999999981, 0]","[0, 0]",2
